ticker,name,sector
HFL,Himalayan Finance Limited (Bittiya Sanstha),Finance
HGI,Himalayan General Insurance Co. Ltd,Non Life Insurance
HPPL,Himalayan Power Partner Ltd.,Hydro Power
HIDCL,Hydorelectricity Investment and Development Company Ltd,Investment
ICFC,ICFC Finance Limited,Finance
IGI,IME General Insurance Ltd.,Non Life Insurance
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance
JALPA,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance
JFL,Janaki Finance Company Limited,Finance
JBNL,Janata Bank Nepal Ltd.,Commercial Banks
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance
JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,Microfinance
JOSHI,Joshi Hydropower Development Company Ltd,Hydro Power
JBBL,Jyoti Bikas Bank Limited,Development Banks
JBBD87,Jyoti Bikash Bank Bond 2087,Corporate Debenture
JLI,Jyoti Life Insurance Company Limited,Life Insurance
JSM,Jyoti Sinning Mills Limited,Manufacturing And Processing
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance
KPCL,Kalika power Company Ltd,Hydro Power
KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks
KNBL,Kankai Bikas Bank Ltd.,Development Banks
KRBL,Karnali Development Bank Limited,Development Banks
KKHC,Khanikhola Hydropower Co. Ltd.,Hydro Power
KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,Microfinance
KBL,Kumari Bank Limited,Commercial Banks
KEF,Kumari Equity Fund,Mutual Fund
LFC,Lalitpur Finance Ltd.,Finance
LBL,Laxmi Bank Limited,Commercial Banks
LEMF,Laxmi Equity Fund,Mutual Fund
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance
LUK,Laxmi Unnati Kosh,Mutual Fund
LEC,Liberty Energy Company Limited,Hydro Power
LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance
LBBL,Lumbini Bikas Bank Ltd.,Development Banks
LGIL,Lumbini General Insurance Co. Ltd.,Non Life Insurance
MBL,Machhapuchhre Bank Limited,Commercial Banks
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,Hydro Power
MLBL,Mahalaxmi Bikas Bank Ltd.,Development Banks
MLBSL,Mahila Lagubitta Bittiya Sanstha Limited,Microfinance
MSMBS,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,Microfinance
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,Microfinance
MKJC,Mailung Khola Jal Vidhyut Company Limited,Hydro Power
MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,Microfinance
MFIL,Manjushree Finance Ltd.,Finance
MLBS,Manushi Laghubitta Bittiya Sanstha Limited,Microfinance
MEGA,Mega  Bank Nepal Ltd.,Commercial Banks
MMF1,Mega Mutual Fund -1,Mutual Fund
MERO,Mero Microfinance Bittiya Sanstha Ltd.,Microfinance
MMFDB,Mirmire Microfinance Development Bank Ltd.,Microfinance
MDB,Miteri Development Bank Limited,Development Banks
MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,Microfinance
MEN,Mountain Energy Nepal Limited,Hydro Power
MHNL,Mountain Hydro Nepal Limited,Hydro Power
MNBBL,Muktinath Bikas Bank Ltd.,Development Banks
MND84/85,Muktinath Debenture 2084/85,Corporate Debenture
MPFL,Multipurpose Finance Company  Limited,Finance
NBF2,NABIL BALANCED FUND-2,Mutual Fund
NBF3,Nabil Balanced Fund-3,Mutual Fund
NABIL,Nabil Bank Limited,Commercial Banks
NBLD85,Nabil Debenture 2085,Corporate Debenture
NEF,Nabil Equity Fund,Mutual Fund
NADEP,Nadep Laghubittiya bittya Sanstha Ltd.,Microfinance
NABBC,Narayani Development Bank Limited,Development Banks
NHPC,National Hydro Power Company Limited,Hydro Power
NLICL,National Life Insurance Co. Ltd.,Life Insurance
NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance
NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,Microfinance
NIL,Neco Insurance Limited,Non Life Insurance
NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,Microfinance
NBB,Nepal Bangladesh Bank Limited,Commercial Banks
NBL,Nepal Bank Limited,Commercial Banks
NBBU,Nepal Bitumin And Barrel Udhyog Limited,Manufacturing And Processing
NCCB,Nepal Credit And Commercial Bank Limited,Commercial Banks
NTC,Nepal Doorsanchar Company Limited,Others
NFD,Nepal Film Development Company Limited,Others
NFS,Nepal Finance Ltd.,Finance
NHDL,Nepal Hydro Developers Ltd.,Hydro Power
NIFRA,Nepal Infrastructure Bank Limited,Investment
NICL,Nepal Insurance Co. Ltd.,Non Life Insurance
NIB,Nepal Investment Bank Limited,Commercial Banks
NKU,Nepal Khadya Udhyog Limited,Manufacturing And Processing
NLIC,Nepal Life Insurance Co. Ltd.,Life Insurance
NLO,Nepal Lube Oil Limited,Manufacturing And Processing
NRIC,Nepal Reinsurance Company Limited,Others
SBI,Nepal SBI Bank Limited,Commercial Banks
NSM,Nepal Share Markets Ltd.,Finance
NTL,Nepal Tading Limited,Tradings
NVG,Nepal Vanaspati Ghee Udhyog Limited,Manufacturing And Processing
NWC,Nepal Welfare Company Limited,Tradings
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,Microfinance
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,Microfinance
NGPL,Ngadi Group Power Ltd.,Hydro Power
NIBLPF,NIBL Pragati Fund,Mutual Fund
NIBSF2,NIBL Samriddhi Fund -2,Mutual Fund
NICBF,NIC Asia Balanced Fund,Mutual Fund
NICA,NIC Asia Bank Ltd.,Commercial Banks
NICGF,NIC Asia Growth Fund,Mutual Fund
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Microfinance
NICD88,NIC ASIA Rinpatra 2088,Corporate Debenture
NICSF,NIC Asia Select Fund 30,Mutual Fund
NIDC,NIDC Development Bank Ltd.,Development Banks
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance
NLG,NLG Insurance Company Ltd.,Non Life Insurance
NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,Microfinance
NMB50,NMB 50,Mutual Fund
NMB,NMB Bank Limited,Commercial Banks
NMBD87/88,NMB Debenture 8.50% - 2087/88,Corporate Debenture
NMBEB92/93,NMB Energy Bond 4% - 2092/93,Corporate Debenture
NMBHF1,NMB Hybrid Fund L-1,Mutual Fund
NRN,NRN Infrastructure and Development Limited,Investment
NYADI,Nyadi Hydropower Limited,Hydro Power
ODBL,Om Development Bank Ltd.,Development Banks
OHL,Oriental Hotels Limited,Hotels
PMHPL,Panchakanya Mai Hydropower Ltd,Hydro Power
PPCL,Panchthar Power Compant Limited,Hydro Power
PFL,Pokhara Finance Ltd.,Finance
PRVU,Prabhu  Bank Limited,Commercial Banks
PRIN,Prabhu Insurance Ltd.,Non Life Insurance
PLI,Prabhu Life Insurance Limited,Life Insurance
PSF,Prabhu Select Fund,Mutual Fund
PIC,Premier Insurance Company (Nepal) Limited,Non Life Insurance
PCBL,Prime Commercial Bank Ltd.,Commercial Banks
PLIC,Prime Life Insurance Company Limited,Life Insurance
PROFL,Progressive Finance Limited,Finance
PICL,Prudential Insurance Co. Ltd.,Non Life Insurance
RADHI,Radhi Bidyut Company Ltd,Hydro Power
RJM,Raghupati Jute Mills Limited,Manufacturing And Processing
RRHP,Rairang Hydropower Development Company Ltd.,Hydro Power
RULB,Rastra Utthan Laghubitta Sanstha Limited,Microfinance
RBCL,Rastriya Beema Company Limited,Non Life Insurance
RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,Hydro Power
RMF1,RBB Mutual Fund 1,Mutual Fund
RLFL,Reliance Finance Ltd.,Finance
RLI,Reliance Life Insurance Limited,Life Insurance
RHPC,Ridi Hydropower Development Company Ltd.,Hydro Power
RFPL,River Falls Power Limited,Hydro Power
RMDC,RMDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power
SABSL,SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,Microfinance
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,Microfinance
SIC,Sagarmatha Insurance Co. Ltd.,Non Life Insurance
SHBL,Sahara Bikas Bank Ltd.,Development Banks
SAHAS,Sahas Urja Limited,Hydro Power
SBBLJ,Sahayogi Bikas Bank Limited,Development Banks
STC,Salt Trading Corporation,Tradings
SAMAJ,Samaj  Laghubittya Bittiya Sanstha Limited,Microfinance
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance
SFC,Samjhana Finance Co. Ltd.,Finance
SPC,Samling Power Company Limited,Hydro Power
SFCL,Samriddhi Finance Company Limited,Finance
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance
SANIMA,Sanima Bank Limited,Commercial Banks
SAEF,Sanima Equity Fund,Mutual Fund
SGI,Sanima General Insurance Limited,Non Life Insurance
SLCF,Sanima Large Cap Fund,Mutual Fund
SLI,Sanima Life Insurance Limited,Life Insurance
SHPC,Sanima Mai Hydropower Ltd.,Hydro Power
SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,Hydro Power
SAPDBL,Saptakoshi Development Bank Ltd,Development Banks
SDBD87,Shangri-la Development Bank Debenture 2087,Corporate Debenture
SADBL,Shangrila Development Bank Ltd.,Development Banks
SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance
SHINE,Shine Resunga Development Bank Ltd.,Development Banks
SSHL,Shiva Shree Hydropower Ltd,Hydro Power
SHIVM,SHIVAM CEMENTS LTD,Manufacturing And Processing
SBPP,Shree Bhrikuti Pulp And Paper Limited,Manufacturing And Processing
SIFC,Shree Investment Finance Co. Ltd.,Finance
SRS,Shree Ram Sugar Mills Limited,Manufacturing And Processing
SFFIL,Shrijana Finance  (Bittaya Sanstha),Finance
SBL,Siddhartha Bank Limited,Commercial Banks
SEF,Siddhartha Equity Fund,Mutual Fund
SEOS,Siddhartha Equity Orineted Scheme,Mutual Fund
SIL,Siddhartha Insurance Ltd.,Non Life Insurance
SIGS2,Siddhartha Investment Growth Scheme - 2,Mutual Fund
SINDU,Sindhu Bikash Bank Ltd,Development Banks
SHEL,Singati Hydro Energy Limited,Hydro Power
SHL,Soaltee Hotel Limited,Hotels
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,Microfinance
SCB,Standard Chartered Bank Limited,Commercial Banks
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,Microfinance
SRBL,Sunrise Bank Limited,Commercial Banks
SBCF,Sunrise Bluechip Fund,Mutual Fund
SFMF,Sunrise First Mutual Fund,Mutual Fund
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance
SLICL,Surya Life Insurance Company Limited,Life Insurance
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,Microfinance
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microfinance
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,Microfinance
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance
SDESI,Swadeshi Laghubitta Bittiya Sanstha Ltd.,Microfinance
SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,Microfinance
SYFL,Synergy Finance Ltd.,Finance
SPDL,Synergy Power Development Ltd.,Hydro Power
TRH,Taragaon Regency Hotel Limited,Hotels
TPC,Terhathum Power Company Limited,Hydro Power
TMDBL,Tinau Mission Development Bank Limited,Development Banks
UNL,Unilever Nepal Limited,Manufacturing And Processing
UNHPL,Union Hydropower Limited,Hydro Power
ULI,Union Life Insurance Company Limited,Life Insurance
UFL,United Finance Ltd.,Finance
UMRH,United IDI Mardi RB Hydropower Limited.,Hydro Power
UIC,United Insurance Co. (Nepal) Ltd.,Non Life Insurance
UMHL,United Modi Hydropower Ltd.,Hydro Power
UPCL,UNIVERSAL POWER COMPANY LTD,Hydro Power
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,Microfinance
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microfinance
UPPER,Upper Tamakoshi Hydropower Ltd,Hydro Power
VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,Microfinance
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance
YHL,Yak And Yeti Hotel Limited,Hotels
